[31/Aug/2022 14:38:51] DEBUG [django.utils.autoreload:381] File /workspace/hello-django/django_todo/settings.py previous mtime: 1661956626.6375659, current mtime: 1661956730.8214726
[31/Aug/2022 14:38:51] DEBUG [django.utils.autoreload:355] /workspace/hello-django/django_todo/settings.py notified as changed. Signal results: [(<function template_changed at 0x7f84c854ea60>, None), (<function translation_file_changed at 0x7f84c7ca6f70>, None)].
[31/Aug/2022 14:38:51] INFO [django.utils.autoreload:250] /workspace/hello-django/django_todo/settings.py changed, reloading.
[31/Aug/2022 14:38:52] INFO [django.utils.autoreload:636] Watching for file changes with StatReloader
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:314] Waiting for apps ready_event.
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:326] Apps ready_event triggered. Sending autoreload_started signal.
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:280] Watching dir /workspace/hello-django/locale with glob **/*.mo.
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/html.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/msvc.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/_entry_points.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/quopri.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/contextlib.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/sqlite3/dbapi2.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/cache/backends/base.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/signals.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/management/commands/__init__.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/urls/conf.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/generic/edit.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/_vendor/more_itertools/recipes.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/copy.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/migrations/operations/special.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/forms/__init__.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/urls/resolvers.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/backends/base/creation.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/policy.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/auth/admin.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/generator.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/shutil.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/signal.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/_asyncio.cpython-38-x86_64-linux-gnu.so first seen with mtime 1659553823.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/config/expand.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/defaults.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/__init__.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/backends/base/base.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/middleware/csrf.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/pkg_resources/_vendor/__init__.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/utils.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/_distutils/log.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/loaders/filesystem.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/mime/__init__.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/pyexpat.cpython-38-x86_64-linux-gnu.so first seen with mtime 1659553834.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/quoprimime.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/_distutils/debug.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/connection.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/io.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/enum.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/opcode.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/specifiers.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/command/__init__.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/wsgiref/__init__.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/admin/decorators.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/backends/django.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/cli.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/reprlib.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/asgiref/current_thread_executor.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/types.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/textwrap.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/_vendor/importlib_metadata/_itertools.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/json/decoder.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/zipfile.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/pkg_resources/_vendor/jaraco/text/__init__.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/math.cpython-38-x86_64-linux-gnu.so first seen with mtime 1659553822.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/servers/basehttp.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/files/utils.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/templatetags/__init__.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/unix_events.py first seen with mtime 1659553840.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/_pickle.cpython-38-x86_64-linux-gnu.so first seen with mtime 1659553824.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/config/pyprojecttoml.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/headerregistry.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/http/response.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/options.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/_distutils_hack/override.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/version.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/lib-dynload/_posixsubprocess.cpython-38-x86_64-linux-gnu.so first seen with mtime 1659553824.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/i18n.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/fields/json.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/files/base.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/auth/signals.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/forms/models.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/checks/security/csrf.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/urls/converters.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/socketserver.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/wsgiref/util.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/backends/base.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/pkg_resources/_vendor/importlib_resources/_legacy.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/unittest/main.py first seen with mtime 1659553842.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/__init__.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/csrf.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/engine/__init__.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/_vendor/__init__.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/functions/window.py first seen with mtime 1659554444.0
